user_id,score,score_with_nulls,age,age_with_nulls,is_active,is_active_with_nulls,country,country_with_nulls
1,77.4,77.4,20,20,False,False,JP,JP
2,43.89,43.89,70,70,False,False,FR,FR
3,85.86,85.86,33,33,True,True,UK,UK
4,69.74,69.74,69,69,False,False,JP,JP
5,9.42,9.42,59,59,False,False,JP,JP
6,97.56,97.56,32,32,False,False,US,US
7,76.11,76.11,52,52,True,True,US,US
8,78.61,78.61,20,20,True,True,UK,UK
9,12.81,12.81,69,69,True,True,FR,FR
10,45.04,45.04,40,40,False,False,DE,DE
11,37.08,37.08,45,45,True,True,DE,DE
12,92.68,92.68,29,29,False,False,DE,DE
13,64.39,64.39,44,44,True,True,DE,
14,82.28,82.28,46,46,False,False,FR,FR
15,44.34,44.34,34,34,False,False,US,US
16,22.72,22.72,89,89,True,True,DE,DE
17,55.46,55.46,38,38,True,True,UK,
18,6.38,6.38,31,31,False,False,FR,
19,82.76,82.76,58,58,False,False,US,US
20,63.17,63.17,41,41,False,False,US,US
21,75.81,75.81,51,51,True,True,DE,DE
22,35.45,35.45,70,70,False,False,DE,
23,97.07,97.07,23,23,False,False,DE,DE
24,89.31,89.31,55,55,False,False,JP,JP
25,77.84,77.84,19,19,False,False,FR,FR
26,19.46,19.46,21,21,True,True,UK,UK
27,46.67,46.67,24,24,False,False,FR,FR
28,4.38,4.38,29,29,True,True,DE,DE
29,15.43,15.43,43,43,True,True,UK,UK
30,68.3,68.3,86,86,False,False,US,US
31,74.48,74.48,84,84,True,True,US,US
32,96.75,,25,25,True,True,UK,
33,32.58,32.58,90,90,True,True,JP,JP
34,37.05,37.05,64,64,False,False,DE,DE
35,46.96,46.96,58,58,False,False,DE,DE
36,18.95,18.95,75,75,True,,UK,UK
37,12.99,12.99,53,53,False,False,UK,UK
38,47.57,47.57,37,37,False,False,FR,FR
39,22.69,22.69,56,56,True,True,US,
40,66.98,,70,70,False,False,FR,FR
41,43.72,43.72,67,67,True,True,JP,JP
42,83.27,83.27,30,30,True,True,JP,JP
43,70.03,70.03,86,86,False,False,UK,UK
44,31.24,31.24,38,38,True,True,JP,JP
45,83.23,83.23,77,77,True,True,UK,UK
46,80.48,80.48,40,40,True,True,UK,UK
47,38.75,38.75,22,22,False,False,UK,UK
48,28.83,28.83,90,90,True,True,US,US
49,68.25,68.25,60,60,True,True,UK,UK
50,13.98,13.98,33,33,True,True,JP,JP
51,19.99,19.99,18,18,False,False,FR,FR
52,0.74,0.74,27,27,True,True,UK,UK
53,78.69,78.69,30,30,False,False,UK,UK
54,66.49,,85,85,False,False,UK,UK
55,70.52,,30,30,True,True,US,
56,78.07,78.07,29,29,False,False,US,US
57,45.89,45.89,79,79,False,False,JP,JP
58,56.87,56.87,82,82,True,True,FR,FR
59,13.98,,33,33,False,False,FR,FR
60,11.45,11.45,65,65,True,True,UK,UK
61,66.84,66.84,57,57,False,False,JP,JP
62,47.11,47.11,60,60,True,True,US,US
63,56.52,56.52,40,40,True,True,JP,JP
64,76.5,76.5,72,72,False,False,DE,
65,63.47,63.47,82,82,True,True,UK,UK
66,55.36,55.36,70,70,False,False,FR,FR
67,55.92,55.92,83,83,True,,DE,DE
68,30.4,30.4,26,26,False,False,UK,UK
69,3.08,3.08,65,65,True,True,FR,FR
70,43.67,43.67,90,90,True,True,FR,FR
71,21.46,21.46,57,57,False,False,FR,FR
72,40.85,40.85,86,86,False,False,DE,DE
73,85.34,85.34,43,43,True,True,UK,UK
74,23.39,23.39,83,83,True,True,DE,DE
75,5.83,5.83,86,86,True,,JP,JP
76,28.14,28.14,63,63,False,False,UK,UK
77,29.36,29.36,69,69,True,True,JP,JP
78,66.19,66.19,56,56,False,False,US,US
79,55.7,55.7,41,41,True,True,US,
80,78.39,78.39,57,57,True,True,UK,UK
81,66.43,66.43,88,88,True,True,US,US
82,40.64,,19,19,False,False,JP,JP
83,81.4,81.4,32,32,False,False,UK,UK
84,16.7,16.7,54,54,True,True,US,US
85,2.27,2.27,42,42,False,False,FR,FR
